Measurement ID,549,,,,,,,,,,,,
Battery Name,LG HG2 18650_SN62A4,,,,,,,,,,,,
Battery Type,Li-ion,,,,,,,,,,,,
Circuit,Circuit001,,,,,,,,,,,,
Program,1744 - LG_HG2_NN_Char,,,,,,,,,,,,
Start Time,10/25/2018 4:08:59 AM,,,,,,,,,,,,
End Time,10/28/2018 11:02:52 AM,,,,,,,,,,,,
Test section,Charge,,,,,,,,,,,,
Comment,,,,,,,,,,,,,
OrderNo,,,,,,,,,,,,,
Producer, LG,,,,,,,,,,,,
Type, Li-ion,,,,,,,,,,,,
Nominal Voltage,3.7,,,,,,,,,,,,
Nominal Current,3,,,,,,,,,,,,
Nominal Capacity,3,,,,,,,,,,,,
Cells,1,,,,,,,,,,,,
Maximum Voltage,4.2,,,,,,,,,,,,
Gassing Voltage,0,,,,,,,,,,,,
Break Voltage,0,,,,,,,,,,,,
Charge Factor,0,,,,,,,,,,,,
Impedance,0.02,,,,,,,,,,,,
Cold Cranking Current,0,,,,,,,,,,,,
Energy Density,0,,,,,,,,,,,,
Comment,HG2 cell with 10AWG wire soldered  to cell,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt
,,,,,,,,[V],[A],[C],[Ah],[Wh],[Cnt]
10/25/2018 4:09:59 AM,4,PAU,01:00.0,01:00.0,0,0,NN_Char_Charge,3.10125,0,23.97615,0,0,11
10/25/2018 4:10:59 AM,4,PAU,02:00.0,02:00.0,0,0,NN_Char_Charge,3.10192,0,23.87099,0,0,11
10/25/2018 4:11:59 AM,4,PAU,03:00.0,03:00.0,0,0,NN_Char_Charge,3.1026,0,23.97615,0,0,11
10/25/2018 4:12:59 AM,4,PAU,04:00.0,04:00.0,0,0,NN_Char_Charge,3.10344,0,23.87099,0,0,11
10/25/2018 4:13:59 AM,4,PAU,05:00.0,05:00.0,0,0,NN_Char_Charge,3.10412,0,23.97615,0,0,11
10/25/2018 4:14:59 AM,4,PAU,06:00.0,06:00.0,0,0,NN_Char_Charge,3.10462,0,23.97615,0,0,11
10/25/2018 4:15:59 AM,4,PAU,07:00.0,07:00.0,0,0,NN_Char_Charge,3.1053,0,23.97615,0,0,11
10/25/2018 4:16:59 AM,4,PAU,08:00.0,08:00.0,0,0,NN_Char_Charge,3.10597,0,23.97615,0,0,11
10/25/2018 4:17:59 AM,4,PAU,09:00.0,09:00.0,0,0,NN_Char_Charge,3.10648,0,23.87099,0,0,11
10/25/2018 4:18:59 AM,4,PAU,10:00.0,10:00.0,0,0,NN_Char_Charge,3.10715,0,23.97615,0,0,11
10/25/2018 4:19:59 AM,4,PAU,11:00.0,11:00.0,0,0,NN_Char_Charge,3.10766,0,23.87099,0,0,11
10/25/2018 4:20:59 AM,4,PAU,12:00.0,12:00.0,0,0,NN_Char_Charge,3.10833,0,23.87099,0,0,11
10/25/2018 4:21:59 AM,4,PAU,13:00.0,13:00.0,0,0,NN_Char_Charge,3.10884,0,23.87099,0,0,11
10/25/2018 4:22:59 AM,4,PAU,14:00.0,14:00.0,0,0,NN_Char_Charge,3.10934,0,23.87099,0,0,11
10/25/2018 4:23:59 AM,4,PAU,15:00.0,15:00.0,0,0,NN_Char_Charge,3.11002,0,23.97615,0,0,11
10/25/2018 4:24:59 AM,4,PAU,16:00.0,16:00.0,0,0,NN_Char_Charge,3.11052,0,23.97615,0,0,11
10/25/2018 4:25:59 AM,4,PAU,17:00.0,17:00.0,0,0,NN_Char_Charge,3.11103,0,23.87099,0,0,11
10/25/2018 4:26:59 AM,4,PAU,18:00.0,18:00.0,0,0,NN_Char_Charge,3.11136,0,23.97615,0,0,11
10/25/2018 4:27:59 AM,4,PAU,19:00.0,19:00.0,0,0,NN_Char_Charge,3.11187,0,23.87099,0,0,11
10/25/2018 4:28:59 AM,4,PAU,20:00.0,20:00.0,0,0,NN_Char_Charge,3.11238,0,23.87099,0,0,11
10/25/2018 4:29:59 AM,4,PAU,21:00.0,21:00.0,0,0,NN_Char_Charge,3.11288,0,23.87099,0,0,11
10/25/2018 4:30:59 AM,4,PAU,22:00.0,22:00.0,0,0,NN_Char_Charge,3.11339,0,23.87099,0,0,11
10/25/2018 4:31:59 AM,4,PAU,23:00.0,23:00.0,0,0,NN_Char_Charge,3.11372,0,23.97615,0,0,11
10/25/2018 4:32:59 AM,4,PAU,24:00.0,24:00.0,0,0,NN_Char_Charge,3.11423,0,23.97615,0,0,11
10/25/2018 4:33:59 AM,4,PAU,25:00.0,25:00.0,0,0,NN_Char_Charge,3.11474,0,23.97615,0,0,11
10/25/2018 4:34:59 AM,4,PAU,26:00.0,26:00.0,0,0,NN_Char_Charge,3.11507,0,23.87099,0,0,11
10/25/2018 4:35:59 AM,4,PAU,27:00.0,27:00.0,0,0,NN_Char_Charge,3.11558,0,23.97615,0,0,11
10/25/2018 4:36:59 AM,4,PAU,28:00.0,28:00.0,0,0,NN_Char_Charge,3.11592,0,23.87099,0,0,11
10/25/2018 4:37:59 AM,4,PAU,29:00.0,29:00.0,0,0,NN_Char_Charge,3.11625,0,23.87099,0,0,11
10/25/2018 4:38:59 AM,4,PAU,30:00.0,30:00.0,0,0,NN_Char_Charge,3.11676,0,23.97615,0,0,11
10/25/2018 4:39:59 AM,4,PAU,31:00.0,31:00.0,0,0,NN_Char_Charge,3.1171,0,23.87099,0,0,11
10/25/2018 4:40:59 AM,4,PAU,32:00.0,32:00.0,0,0,NN_Char_Charge,3.11743,0,23.87099,0,0,11
10/25/2018 4:41:59 AM,4,PAU,33:00.0,33:00.0,0,0,NN_Char_Charge,3.11777,0,23.87099,0,0,11
10/25/2018 4:42:59 AM,4,PAU,34:00.0,34:00.0,0,0,NN_Char_Charge,3.11811,0,23.97615,0,0,11
10/25/2018 4:43:59 AM,4,PAU,35:00.0,35:00.0,0,0,NN_Char_Charge,3.11844,0,23.87099,0,0,11
10/25/2018 4:44:59 AM,4,PAU,36:00.0,36:00.0,0,0,NN_Char_Charge,3.11878,0,23.76583,0,0,11
10/25/2018 4:45:59 AM,4,PAU,37:00.0,37:00.0,0,0,NN_Char_Charge,3.11912,0,23.97615,0,0,11
10/25/2018 4:46:59 AM,4,PAU,38:00.0,38:00.0,0,0,NN_Char_Charge,3.11946,0,23.87099,0,0,11
10/25/2018 4:47:59 AM,4,PAU,39:00.0,39:00.0,0,0,NN_Char_Charge,3.11996,0,23.87099,0,0,11
10/25/2018 4:48:59 AM,4,PAU,40:00.0,40:00.0,0,0,NN_Char_Charge,3.1203,0,23.87099,0,0,11
10/25/2018 4:49:59 AM,4,PAU,41:00.0,41:00.0,0,0,NN_Char_Charge,3.12047,0,23.97615,0,0,11
10/25/2018 4:50:59 AM,4,PAU,42:00.0,42:00.0,0,0,NN_Char_Charge,3.1208,0,23.76583,0,0,11
10/25/2018 4:51:59 AM,4,PAU,43:00.0,43:00.0,0,0,NN_Char_Charge,3.12114,0,23.87099,0,0,11
10/25/2018 4:52:59 AM,4,PAU,44:00.0,44:00.0,0,0,NN_Char_Charge,3.12148,0,23.97615,0,0,11
10/25/2018 4:53:59 AM,4,PAU,45:00.0,45:00.0,0,0,NN_Char_Charge,3.12182,0,24.0813,0,0,11
10/25/2018 4:54:59 AM,4,PAU,46:00.0,46:00.0,0,0,NN_Char_Charge,3.12215,0,23.87099,0,0,11
10/25/2018 4:55:59 AM,4,PAU,47:00.0,47:00.0,0,0,NN_Char_Charge,3.12249,0,23.87099,0,0,11
10/25/2018 4:56:59 AM,4,PAU,48:00.0,48:00.0,0,0,NN_Char_Charge,3.12266,0,23.97615,0,0,11
